Title,Image_Name,Cleaned_Ingredients,ingredient_list,multi_hot
Serrano Ham and Poblano Corn Pudding,serrano-ham-and-poblano-corn-pudding-233408,"['2 large poblano chiles*', '2 cups fresh corn kernels (from 2 large ears) or frozen, thawed, divided', '2 large eggs', '1/2 cup (1 stick) butter, melted, slightly cooled', '1 teaspoon salt', 'Large pinch of baking powder', '1 cup sour cream', '1/2 cup instant corn masa mix (Maseca)**', '4 ounces 1/4-inch-thick slices Serrano ham or prosciutto, cut into 1/4-inch cubes (about 1 cup)', '1 cup coarsely grated Manchego cheese (about 4 1/2 ounces)']","['poblano chiles', 'corn kernels', 'eggs', 'butter', 'salt', 'baking powder', 'cream', 'instant corn masa mix', 'serrano ham', 'manchego cheese']",[0 0 0 ... 0 0 0]
Chicory Salad with Honey-Mustard Vinaigrette,chicory-escarole-radicchio-salad-with-honey-mustard-vinaigrette,"['1 cup pecans', '1/4 cup sherry vinegar or red wine vinegar', '1/4 cup whole grain mustard', '2 tablespoons honey', '1 head of escarole, leaves separated and torn', '1 head of radicchio, leaves separated and torn', '1/4 cup thinly sliced chives', 'Extra-virgin olive oil (for drizzling)', 'Kosher salt', 'freshly ground pepper']","['pecans', 'sherry vinegar', 'mustard', 'honey', 'escarole', 'radicchio', 'chives', 'extra-virgin olive oil', 'kosher salt', 'pepper']",[0 0 0 ... 0 0 0]
Blackberry Buttermilk Panna Cottas with Blackberry Compote,blackberry-buttermilk-panna-cottas-with-blackberry-compote-231818,"['3/4 lb blackberries (about 3 cups)', '1 1/4 cups well-shaken buttermilk', '2 3/4 teaspoons unflavored gelatin (from two 1/4-oz envelopes)', '1/4 cup water', '1 1/2 cups heavy cream', '2/3 cup sugar', '""2 tablespoons blackberry syrup, store-bought or homemade (see cooks note, below)"", 1/2 cup water', '1/2 cup crème de cassis', '2 tablespoons sugar', '1 1/2 tablespoons fresh lemon juice', '1/2 lb blackberries (about 2 cups)', '6 (6-oz) molds (preferably nonreactive)']","['blackberries', 'buttermilk', 'un', 'ed gelatin', 'water', 'heavy cream', 'sugar', 'blackberry syrup', 'crème de cassis', 'lemon juice', 'molds']",[0 0 0 ... 0 0 0]
Cornflake Crusted Banana Stuffed French Toast,cornflake-crusted-banana-stuffed-french-toast-365849,"['1 cup cornflake crumbs', '1 tablespoon toasted sliced almonds', '1/2 cup egg whites (or egg substitute)', '1/2 teaspoon pure vanilla extract', '1/2 teaspoon cinnamon', '4 slices cinnamon-raisin bread', '1/4 cup mashed banana', 'Strawberries and blueberries (optional)']","['cornflake crumbs', 'almonds', 'egg whites', 'vanilla extract', 'cinnamon', 'cinnamon-raisin bread', 'banana', 'strawberries', 'blueberries']",[0 0 0 ... 0 0 0]
Breakfast Amaranth With Walnuts and Honey,breakfast-amaranth-with-walnuts-and-honey-51215420,"['2 cups amaranth', '4 cups water', '1/2 teaspoon salt', 'Broken or chopped walnuts', 'pecans', 'or almonds; honey or pure maple syrup; milk']","['amaranth', 'water', 'salt', 'walnut', 'pecans', 'honey']",[0 0 0 ... 0 0 0]
Crunchy Wasabi Salmon with Lime,crunchy-wasabi-salmon-with-lime-237322,"['3/4 cup wasabi peas (about 3 ounces)', '4 (8-ounce) salmon fillets with skin (each about 1 inch to 1 1/4 inches thick)', '1 tablespoon finely grated lime peel', '2 tablespoons olive oil, divided', '6 cups thinly sliced red cabbage (about 1/2 large head)', '1 (8-ounce) package trimmed sugar snap peas', '2 tablespoons fresh lime juice', 'Lime wedges']","['wasabi peas', 'salmon fillets', 'lime peel', 'olive oil', 'red cabbage', 'med sugar snap peas', 'lime juice', 'lime wedges']",[0 0 0 ... 0 0 0]
Ramp Pesto Spaghetti,ramp-pesto-spaghetti-56389373,"['4 ounces ramp greens (about a fistful)', 'Salted water', 'ice water', '12 ounces spaghetti', '1 cup reserved pasta cooking liquid', '2 ramp bulbs and stalks (save or pickle the rest)', '1/4 cup toasted walnuts', '1/3 cup olive oil', '2 tablespoons grated Pecorino', 'Salt', 'Pecorino and lemon wedges for garnish']","['ramp greens', 'water', 'ice water', 'spaghetti', 'pasta cooking liquid', 'ramp bulbs', 'walnuts', 'olive oil', 'pecorino', 'salt', 'lemon wed']",[0 0 0 ... 0 0 0]
Grilled Cheese and Fried Egg Sandwiches,grilled-cheese-and-fried-egg-sandwiches-364551,"['12 slices pancetta (Italian bacon)', '2 tablespoons butter', '4 slices sourdough bread', '8 thin slices provolone cheese', '4 large eggs', '1 small green onion, chopped', 'Parmesan cheese shavings', '12 fresh basil leaves or arugula leaves']","['pancetta', 'butter', 'sourdough bread', 'provolone cheese', 'eggs', 'green onion', 'parmesan cheese', 'basil']",[0 0 0 ... 0 0 0]
Crispy Cornmeal-Bacon Waffles,crispy-cornmeal-bacon-waffles-109154,"['8 bacon slices', '1 1/4 cups all purpose flour', '3/4 cup yellow cornmeal', '2 1/4 teaspoons baking powder', '1/2 teaspoon baking soda', '2 cups buttermilk', '2 large eggs', '3 tablespoons pure maple syrup', '1/4 cup (1/2 stick) unsalted butter, melted, cooled', 'Additional melted butter or nonstick vegetable oil spray', 'Additional pure maple syrup']","['bacon', 'all purpose flour', 'yellow cornmeal', 'baking powder', 'baking soda', 'buttermilk', 'eggs', 'pure maple syrup', 'ted butter', 'butter', 'maple syrup']",[0 0 0 ... 0 0 0]
Dark Fruit Cake,dark-fruit-cake-236603,"['1/4 pound butter, or 1/2 cup shortening', '1 cup dark-brown sugar, firmly packed', '1 teaspoon lemon extract', '2 eggs', '1/2 cup molasses', '2 cups flour', '1/2 teaspoon baking soda', '1 teaspoon cinnamon', '1/2 teaspoon allspice', '1/2 teaspoon mace', '1/4 teaspoon cloves', '1/2 teaspoon salt', '1/2 cup milk', '2 cups small pieces mixed candied fruit', '1/2 cup small pieces candied citron', '1 cup raisins', '1 cup chopped pecans']","['butter', 'dark-brown sugar', 'lemon extract', 'eggs', 'molasses', 'flour', 'baking soda', 'cinnamon', 'allspice', 'mace', 'cloves', 'salt', 'milk', 'mixed candied fruit', 'citron', 'raisins', 'pecans']",[0 0 0 ... 0 0 0]
Escargots à la Bourguignonne,escargots-a-la-bourguignonne-233523,"['1 small garlic clove', '3/8 teaspoon table salt', '1 stick (1/2 cup) unsalted butter, softened', '1 1/2 teaspoons finely minced shallot', '1 tablespoon finely chopped fresh flat-leaf parsley', '1/4 teaspoon black pepper', '1 tablespoon dry white wine', '12 to 16 snails* (from a 7- to 8-oz can)', 'About 2 cups kosher salt (for stabilizing snail shells)', 'Accompaniment: French bread', '12 to 16 sterilized escargot shells*']","['garlic', 'table salt', 'ted butter', 'shallot', 'flat', 'leaf parsley', 'black pepper', 'white wine', 'snails', 'kosher salt', 'french bread', 'escargot shells']",[0 0 0 ... 0 0 0]
Brussels Sprouts with Bacon and Raisins,brussels-sprouts-with-bacon-and-raisins-394671,"['1 teaspoon olive oil', '2 thick slices bacon', '4 cups Brussels sprouts (about 1 pound), trimmed, halved', 'Kosher salt and freshly ground black pepper', '1/4 cup golden raisins', '1 medium shallot, finely chopped', '1 tablespoon unsalted butter', '1/2 cup low-salt chicken broth', '2 tablespoons apple cider vinegar']","['olive oil', 'bacon', 'brussels sprouts', 'kosher salt', 'black pepper', 'golden raisins', 'shallot', 'ted butter', 'chicken broth', 'apple cider vinegar']",[0 0 0 ... 0 0 0]
Pol Sambol (Coconut Relish),pol-sambol-coconut-relish-sri-lanka-the-cookbook,"['1 small onion, roughly chopped', '1 garlic clove, halved', '1 medium tomato, cut into quarters', '5 black peppercorns', '1 green chilli, deseeded', '¾ tsp chilli powder', '5 fresh curry leaves', '200g (7oz / 2 ½ cups) freshly grated or desiccated (shredded) coconut', '1 tsp Maldive fish, crushed (optional)', 'juice of ½ lime', 'salt']","['onion', 'garlic', 'tomato', 'black peppercorns', 'green chilli', 'chilli powder', 'curry leaves', 'coconut', 'maldive fish', 'juice', 'lime', 'salt']",[0 0 0 ... 0 0 0]
Roasted Sweet Potato Wedges with Smoked Chile Cream,roasted-sweet-potato-wedges-with-smoked-chile-cream-361831,"['1/3 cup sour cream', '3 tablespoons finely chopped green onion tops (dark green parts), divided', '2 teaspoons chipotle hot pepper sauce', '2 teaspoons fresh lime juice', '3 pounds medium red-skinned sweet potatoes (yams), scrubbed, cut lengthwise into 3/4-inch-wide wedges with skin', '3 tablespoons olive oil', '1 1/2 teaspoons ground cumin']","['cream', 'green onion tops', 'chipotle', 'pepper sauce', 'lime juice', 'red', 'sweet potatoes', 'olive oil', 'cumin']",[0 0 0 ... 0 0 0]
Green Garlic and Leek Matzo Brei With Smoked Salmon and Horseradish Cream,green-garlic-and-leek-matzah-brei-with-smoked-salmon-and-horseradish-cream,"['1/2 cup (115 g) crème fraîche or plain Greek yogurt', '1–3 tablespoons prepared horseradish (brands vary in strength)', 'Kosher or sea salt and freshly ground white pepper', '1/2 bunch each young leeks and green garlic, about 10 plants total, or 2 large leeks, white part only, and 1–2 cloves garlic', '2 tablespoons butter', '2 tablespoons olive oil', '4 sheets matzo', '4 eggs', '1/4 pound (115 g) sliced smoked salmon', 'A few dill sprigs, snipped', '1 lemon']","['crème fraîche', 'horseradish', 'kosher', 'white pepper', 'leeks', 'green garlic', 'butter', 'olive oil', 'matzo', 'eggs', 'salmon', 'dill', 'lemon']",[0 0 0 ... 0 0 0]
Toast with Lemony Pea Mash,toast-with-lemony-pea-mash-51154930,"['1 garlic clove, quartered', '1/4 cup fresh flat-leaf parsley leaves', '3 tablespoons extra-virgin olive oil, divided, plus more for toast', 'Kosher salt', '2 cups shelled fresh peas (from about 2 pounds pods) or frozen peas, thawed', '2 tablespoons chopped fresh chives', '1 tablespoon finely chopped preserved lemon peel (from 1/2 preserved lemon), divided', '1 tablespoon (or more) fresh lemon juice', '1/4 teaspoon Aleppo pepper or crushed red pepper flakes plus more for serving', 'Freshly ground black pepper', '12 slices country-style bread or ciabatta, toasted', 'Ingredient info: Preserved lemons are lemons that have been soaked in salt and lemon juice for several weeks. They are available at Middle Eastern markets and specialty foods stores.']","['garlic', 'af parsley leaves', 'extra-virgin olive oil', 'kosher salt', 'peas', 'chives', 'lemon pe', 'lemon juice', 'aleppo pepper', 'black pepper', 'bread', 'lemon']",[0 0 0 ... 0 0 0]
Sausage and Ricotta Baked Cannelloni,sausage-and-ricotta-baked-cannelloni,"['6 Tbsp. unsalted butter', '3 Tbsp. all-purpose flour', '3 cups whole milk', '1 oz. Parmesan, grated (about 1/2 cup)', 'Pinch of cayenne pepper', 'Pinch of ground nutmeg', 'Kosher salt', '2 bunches green Swiss chard', '3 Tbsp. extra-virgin olive oil', '1 lb. sweet Italian sausage, casings removed', '1 lb. whole-milk fresh ricotta', 'Kosher salt', '1 lb. fresh pasta sheets (about 16 (6x4"") pieces) or 12 oz. dried jumbo shells (about 30)', '2 cups store-bought marinara sauce', 'Grated Parmesan (for sprinkling)']","['ted butter', 'all-purpose flour', 'milk', 'parmesan', 'cayenne pepper', 'nutmeg', 'kosher salt', 'green swiss chard', 'extra-virgin olive oil', 'sweet italian sausage', 'mil', 'ricotta', 'pasta', 'marinara sauce']",[0 0 0 ... 0 0 0]
Chicken Fricassée with Lemon Mustard Sauce,chicken-fricassee-with-lemon-mustard-sauce-109106,"['1/4 cup vegetable oil', '1 (3 1/2- to 4-lb) free-range chicken, cut into 8 serving pieces', '2 teaspoons salt', '1 teaspoon black pepper', '3/4 cup plus 2 tablespoons all-purpose flour', '3 carrots, chopped', '2 onions, chopped', '5 garlic cloves, chopped', '2 cups heavy cream', '1 1/4 cups dry white wine', '1/4 cup fresh lemon juice', '1/4 cup Dijon mustard', '1 teaspoon fresh thyme leaves', '1 Turkish or 1/2 California bay leaf', '1/2 cup water', '3 tablespoons unsalted butter']","['vegetable oil', 'chicken', 'salt', 'black pepper', 'all-purpose flour', 'carrots', 'onions', 'garlic', 'heavy cream', 'white wine', 'lemon juice', 'dijon mustard', 'thyme leaves', 'turki', 'water', 'ted butter']",[0 0 0 ... 0 0 0]
Wilted Spinach with Roasted Garlic,wilted-spinach-with-roasted-garlic-240366,"['12 garlic cloves, peeled', '4 tablespoons olive oil, divided', '3 6-ounce bags fresh spinach']","['garlic', 'olive oil', 'spinach']",[0 0 0 ... 0 0 0]
Roasted Peppers with Nectarines,roasted-peppers-with-nectarines-395485,"['2 pounds Anaheim chiles (about 9), halved, cored, cut lengthwise into 1"" strips', '2 pounds green bell peppers (about 5), halved, cored, cut lengthwise into 1"" strips', '1/3 cup extra-virgin olive oil', '1/2 teaspoon kosher salt plus more for seasoning', '1/2 teaspoon sugar', '1/4 teaspoon ground coriander', '1/4 teaspoon ground cumin', 'Freshly ground black pepper', '2 pounds ripe nectarines (about 5)', '1 tablespoon fresh lemon juice', 'Ingredient info: Anaheim chiles', 'also known as California chiles', 'are available at many supermarkets and at Latin markets.']","['anaheim chiles', 'green bell peppers', 'extra-virgin olive oil', 'kosher salt', 'sugar', 'coriander', 'cumin', 'black pepper', 'e nectarines', 'lemon juice', 'ingredient', 'california chiles', 'supermarket']",[0 0 0 ... 0 0 0]
Rustic Ratatouille,rustic-ratatouille-51127020,"['4 small zucchini (about 1 pound), cut into 1-inch pieces', '1 medium eggplant (about 1 pound), cut into 1-inch pieces', '3 medium red bell peppers, cut into 1-inch pieces', '3 medium onions, sliced', '1 tablespoon chopped fresh thyme', '1 tablespoon chopped fresh rosemary', '1 teaspoon salt, divided', '1/2 teaspoon freshly ground black pepper', '1 tablespoon olive oil', 'Vegetable oil cooking spray', '2 cans (14 ounces each) chickpeas, rinsed and drained', '8 plum tomatoes (about 1 pound), seeded and cut into 1-inch pieces', '1 tablespoon chopped garlic', '1 tablespoon tomato paste', '2 1/2 teaspoons sherry wine vinegar or balsamic vinegar', '3 tablespoons chopped fresh basil']","['zucchini', 'eggplant', 'red bell peppers', 'onions', 'thyme', 'rosemary', 'salt', 'black pepper', 'olive oil', 'vegetable oil cooking spray', 'chickpeas', 'plum tomatoes', 'garlic', 'tomato paste', 'sherry wine vinegar', 'basil']",[0 0 0 ... 0 0 0]
Baked Yams with Ginger-Molasses Butter,baked-yams-with-ginger-molasses-butter-230942,"['1/2 cup (1 stick) unsalted butter, room temperature', '3 tablespoons (packed) golden brown sugar', '1 tablespoon mild-flavored (light) molasses', '1/2 teaspoon ground ginger', '1/4 teaspoon ground cinnamon', 'Pinch of ground cloves', '3 tablespoons minced crystallized ginger', '6 8-ounce yams (red-skinned sweet potatoes)', 'rinsed', 'patted dry']","['ted butter', 'golden brown sugar', 'molasses', 'ginger', 'cinnamon', 'cloves', 'crystal', 'yams', 'sweet']",[0 0 0 ... 0 0 0]
Black Roasted Cod with Sea Beans and Oysters,black-roasted-cod-with-sea-beans-and-oysters-230451,"['1/4 lb sea beans (2 cups)', '16 shucked small oysters (preferably Kumamoto or Prince Edward Island) with their liquor', '4 (6- to 7-oz) pieces skinless black cod fillet (1 3/4 inches thick)', '1/4 teaspoon salt', '1/8 teaspoon black pepper', '1 tablespoon olive oil', '1/4 cup finely chopped shallot', '1/2 stick (1/4 cup) unsalted butter', '4 teaspoons fresh lemon juice']","['sea beans', 'oysters', 'black cod fillet', 'salt', 'black pepper', 'olive oil', 'shallot', 'ted butter', 'lemon juice']",[0 0 0 ... 0 0 0]
Beef Bourguignonne Pot Pie,beef-bourguignonne-pot-pie-51263460,"['3 tablespoons olive oil', '1/2 cup plus 1 tablespoon all-purpose flour, plus more', 'Kosher salt, freshly ground pepper', '1 1/2 pounds boneless beef chuck, cut into 2"" pieces', '3 bacon slices, cut into 1/4"" pieces', '1 medium onion, finely chopped', '1 medium leek, white and palegreen parts only, halved lengthwise, thinly sliced', '1 medium carrot, peeled, finely chopped', '1 garlic clove, finely chopped', '1/2 cup finely chopped fresh parsley', '2 tablespoons brandy or bourbon', '4 sprigs thyme, leaves stripped', '1 bay leaf', '1 star anise pod', '2 cups low-sodium chicken broth', '1 cup red wine', '5 tablespoons unsalted butter, room temperature, divided', '8 ounces crimini mushrooms, stems removed', '8 ounces pearl onions, peeled', '1 tablespoon fresh lemon juice', '2 sheets frozen puff pastry (two 14-ounce packages or one 17.3-ounce package), thawed', '1 large egg, beaten to blend', '3/4""-diameter cookie cutter or pastry tip']","['olive oil', 'all-purpose flour', 'kosher salt', 'pepper', 'beef chuck', 'bacon', 'onion', 'leek', 'white', 'carrot', 'garlic', 'parsley', 'brandy', 'thyme', 'bay leaf', 'star anise pod', 'chicken broth', 'red wine', 'ted butter', 'crimini mushrooms', 'pearl onions', 'lemon juice', 'puff pastry', 'egg', 'blend', 'cookie cutter']",[0 0 0 ... 0 0 0]
Rocco's How Low Can You Go Low-Fat Marinara Sauce,roccos-how-low-can-you-go-low-fat-marinara-sauce-363439,"['1/2 tablespoon extra-virgin olive oil', '6 garlic cloves, minced', '1 large yellow onion, cut into small dice', 'Salt', 'Crushed red pepper', 'Two 28-ounce cans tomato puree', '1/2 cup water', '1 small piece of Parmigiano- Reggiano cheese rind', '1 large sprig fresh basil']","['extra-virgin olive oil', 'garlic', 'yellow onion', 'salt', 'red pepper', 'tomato puree', 'water', 'parmigiano', 'reggiano cheese rind', 'basil']",[0 0 0 ... 0 0 0]
Prosecco-Raspberry Gelée,prosecco-raspberry-gelee-366399,"['2 cups (9 ounces) fresh raspberries', '3/4 cup plus 2 tablespoons. sugar, divided', '2 tablespoons fresh lemon juice, divided', '1 750-ml chilled bottle Prosecco (Italian sparkling wine), divided', '3 1/2 teaspoon unflavored gelatin (measured from two 1/4-ounce envelopes)', '3/4 teaspoon orange-flower water (optional)', 'Ingredient info: Orange-flower water', 'a flavoring extract', 'is available in the cocktail-mixers or baking section of better supermarkets and at liquor stores and Middle Eastern markets.']","['raspberries', 'sugar', 'lemon juice', 'ed', 'prosecco', 'un', 'ed gelatin', 'orange-flower water', 'flavoring extract']",[0 0 0 ... 0 0 0]
Grilled Turkey Burgers with Cheddar and Smoky Aioli,grilled-turkey-burgers-with-cheddar-and-smoky-aioli-354289,"['1/2 teaspoon cumin seeds', '1/2 teaspoon coriander seeds', '1/2 cup mayonnaise', '2 tablespoons extra-virgin olive oil plus additional for brushing', '2 teaspoons fresh lemon juice', '1 1/2 teaspoons smoked paprika', '1 garlic clove, pressed', '1 pound ground dark-meat turkey', '4 1/3 -inch-thick red onion slices', '1 large or 2 small red bell peppers, quartered', '4 slices white cheddar cheese or Monterey Jack cheese', '4 sesame-seed hamburger buns', 'Arugula', 'Pickle wedges', 'Corn chips']","['cumin seeds', 'coriander seeds', 'mayonnaise', 'extra-virgin olive oil', 'lemon juice', 'paprika', 'garlic', 'dark-meat turkey', 'red onion', 'bell pepper', 'white cheddar cheese', 'sesame', 'seed hamburger buns', 'arugula', 'pickle wedges', 'corn chips']",[0 0 0 ... 0 0 0]
Sambal Short Rib Stir-Fry,sambal-short-rib-stir-fry,"['3 tablespoons toasted sesame oil', '1 pound boneless beef short ribs, thinly sliced against the grain', 'Kosher salt, freshly ground pepper', '2 small onions, thinly sliced', '8 ounces shiitake mushrooms, stems removed, caps thinly sliced', '1 bunch scallions, cut into 1-inch pieces', '1 (2-inch) piece ginger, peeled, finely grated', '4 garlic cloves, finely grated', '1/4 cup sambal oelek', '1 tablespoon mirin', '6 medium radishes, trimmed, quartered', '6 ounces snow peas', '1 cup low-sodium chicken broth', 'Cooked short-grain rice (for serving)', '1 cup torn basil leaves']","['sesame oil', 'beef short ribs', 'kosher salt', 'pepper', 'onions', 'shiitake mushrooms', 'scallions', 'ginger', 'garlic', 'sambal oelek', 'mirin', 'radishes', 'snow peas', 'chicken broth', 'short', 'grain rice', 'torn basil leaves']",[0 0 0 ... 0 0 0]
Miso-Cured Black Cod with Chilled Cucumbers,miso-cured-black-cod-with-chilled-cucumbers-56389995,"['3/4 pound skin-on black cod fillet', 'Kosher salt', '3/4 cup white miso', '3 tablespoons mirin', '3 tablespoons sake', '1 8x2"" piece dried kombu', '1 ounce shaved katsuobushi (dried bonito flakes; about 4 cups)', '2 tablespoons unseasoned rice vinegar', '4 teaspoons sugar', '4 Japanese or Persian cucumbers', 'Kosher salt', '1 1"" piece ginger, peeled, cut into very thin matchsticks', 'Find katsuobushi at Japanese markets or online.']","['black cod fillet', 'kosher salt', 'white miso', 'mirin', 'sake', 'd kombu', 'katsuobushi', 'rice vinegar', 'sugar', 'cucumbers', 'ginger']",[0 0 0 ... 0 0 0]
Turkey Matzo Ball Soup,turkey-matzo-ball-soup,"['2 eggs', '2 tablespoons chicken fat (or melted butter, unless you’re keeping a kosher kitchen)', '1/4 cup matzo meal', '1/4 cup panko breadcrumbs', '1 teaspoon salt, plus more to taste', '2 tablespoons seltzer', '2 quarts turkey stock (or strong chicken stock)', '1 large carrot, peeled and cut into chunks', '2 sprigs dill, finely chopped', 'Freshly ground black pepper to taste']","['eggs', 'chicken fat', 'matzo meal', 'panko breadcrumbs', 'salt', 'seltzer', 'turkey stock', 'carrot', 'dill', 'black pepper']",[0 0 0 ... 0 0 0]
Gold Rush,gold-rush-bourbon-cocktail,"['2 ounces bourbon', '3/4 ounce fresh lemon juice', '3/4 ounce honey']","['bourbon', 'lemon juice', 'honey']",[0 0 0 ... 0 0 0]
Lamb Chops with Everything-Bagel Yogurt and Chickpeas,lamb-chops-with-everything-bagel-yogurt-and-chickpeas-51248810,"['7 tablespoons olive oil, divided', '2 1/2 teaspoons poppy seeds', '2 1/2 teaspoons sesame seeds', '2 teaspoons dried minced garlic', '2 teaspoons dried minced onion', '1 teaspoon coarse salt', '8 1-inch-thick lamb rib or loin chops (about 1 1/2 pounds)', '1 teaspoon kosher salt, divided', '1/2 teaspoon freshly ground black pepper, divided', '1/2 cup chopped yellow onion', '1/2 pound carrots, peeled, cut into 1/4-inch-thick slices on a bias', '2 garlic cloves, minced', '2 teaspoons to 2 tablespoons harissa paste (depending on heat and saltiness)', '1 teaspoon ground cumin', '1/2 teaspoon smoked paprika', '1/3 cup low-sodium chicken broth', '1 15-ounce can chickpeas, rinsed and drained', '1 15-ounce can diced tomatoes', '1 tablespoon vegetable oil, such as grapeseed', '3/4 cup plain Greek yogurt (full-fat or low-fat)', '2 teaspoons lemon juice', '2 tablespoons chopped parsley']","['olive oil', 'poppy seeds', 'sesame seeds', 'garlic', 'onion', 'salt', 'lamb rib', 'kosher salt', 'black pepper', 'yellow onion', 'carrots', 'harissa paste', 'cumin', 'paprika', 'chicken broth', 'chickpeas', 'tomatoes', 'vegetable oil', 'greek yogurt', 'lemon juice', 'parsley']",[0 0 0 ... 0 0 0]
Spinach Salad with Strawberry Vinaigrette,spinach-salad-with-strawberry-vinaigrette-238931,"['2 1/2 tablespoons strawberry vinegar', '3 tablespoons olive oil', '5 ounces baby spinach (8 cups)', '1/2 pound strawberries, cut lengthwise into thick slices (1 1/2 cups)', '1/2 cup pecan halves (3 1/2 ounces)', 'toasted and cooled']","['strawberry vinegar', 'olive oil', 'baby spinach', 'strawberries', 'pecan halves']",[0 0 0 ... 0 0 0]
Panko-Fried Peaches,panko-fried-peaches-51185820,"['Canola oil, for deep-frying', '5 to 6 soft large peaches, peeled and halved', 'All-purpose flour, for dredging', '2 eggs, beaten', '2 cups panko']","['canola oil', 'peaches', 'all-purpose flour', 'eggs', 'panko']",[0 0 0 ... 0 0 0]
Heirloom Tomato Salad with Pickled Fennel,heirloom-tomato-salad-with-pickled-fennel-51179150,"['1 whole star anise pod', '1 teaspoon aniseed', '1 teaspoon coriander seeds', '1 teaspoon fennel seeds', '1/4 teaspoon cumin seeds', '1/4 lemongrass stalk, tough outer layer removed, crushed', 'Zest of 1/4 orange, removed with a vegetable peeler', '1 medium fennel bulb, cored, thinly sliced', '1 1/2 cups unseasoned rice vinegar', '1/2 cup sugar', '2 tablespoons kosher salt', '2 pounds large heirloom tomatoes (about 3), cut into wedges', '1 cup cherry tomatoes, preferably heirloom, halved', '2 tablespoons white balsamic or Sherry vinegar', '7 tablespoons extra-virgin olive oil, divided', 'Kosher salt, freshly ground pepper', '2 Cubanelle peppers or Anaheim chiles, sliced into 3/4"" rings, seeded', 'Fennel fronds (for serving)', 'Cheesecloth']","['star anise pod', 'aniseed', 'coriander seeds', 'fennel seeds', 'cumin seeds', 'lemongrass', 'zest', 'orang', 'fennel bulb', 'rice vinegar', 'sugar', 'kosher salt', 'heirloom tomatoes', 'cherry tomatoes', 'white balsamic', 'extra-virgin olive oil', 'pepper', 'cubanelle peppers', 'fennel fronds', 'cheesecloth']",[0 0 0 ... 0 0 0]
Roast Chicken Legs with Lots of Garlic,roast-chicken-legs-with-lots-of-garlic,"['4 chicken legs (thigh and drumstick; about 2 1/2 lb. total)', 'Kosher salt', '4 heads of garlic, halved crosswise', '1 lemon, thinly sliced into rounds, seeds removed', '1 red chile (such as Fresno), quartered lengthwise, seeds removed if desired', '3 bay leaves or 5 sprigs thyme', 'Freshly ground black pepper', '1/2 cup extra-virgin olive oil', 'Country-style bread', 'toasted (for serving)']","['chicken legs', 'kosher salt', 'garlic', 'lemon', 'red chile', 'bay leaves', 'black pepper', 'extra-virgin olive oil', 'country', 'bread']",[0 0 0 ... 0 0 0]
Black-Tie Martinis,black-tie-martinis-350255,"['9 ounces (1 cup plus 2 tablespoon) gin or vodka', '1 teaspoon black peppercorns, crushed', '1 tablespoon dry vermouth', '3 dashes Angostura bitters', 'Garnish: lemon twist']","['gin', 'black peppercorns', 'vermouth', 'angostura bitters', 'lemon']",[0 0 0 ... 0 0 0]
"Mixed Berry Pie with Ginger, Orange, and Almond Streusel",mixed-berry-pie-with-ginger-orange-and-almond-streusel-353426,"['1 1/2 cups all purpose flour', '2 teaspoons sugar', '1/2 teaspoon salt', '1/2 cup (1 stick) chilled unsalted butter, cut into 1/4-inch cubes', '2 tablespoons (or more) ice water', '3/4 cup all purpose flour', '1/2 cup sugar', '2 tablespoons finely chopped crystallized ginger', '1 teaspoon finely grated orange peel', '1/4 teaspoon salt', '6 tablespoons (3/4 stick) chilled unsalted butter, cut into 1/4-inch cubes', '1 tablespoon whole milk', '1 cup sliced almonds', '3 cups fresh blueberries (17 ounces)', '2 cups fresh raspberries (9 to 10 ounces)', '1 cup fresh blackberries (5 to 6 ounces)', '1/2 cup plus 2 tablespoons sugar', '1 tablespoon fresh lemon juice', '3 tablespoons cornstarch']","['all purpose flour', 'sugar', 'salt', 'ed', 'ted butter', 'ice water', 'flour', 'ginger', 'orange peel', 'milk', 'almonds', 'blueberries', 'raspberries', 'blackberries', 'lemon juice', 'cornstarch']",[0 0 0 ... 0 0 0]
Coal-Roasted Eggplants,coal-roasted-eggplants-51175230,['2 small eggplants (about 1 pound total)'],['eggplants'],[0 0 0 ... 0 0 0]
New Potatoes with Dill Butter,new-potatoes-with-dill-butter-395901,"['1/4 cup (1/2 stick) unsalted butter, room temperature', '2 tablespoons (packed) coarsely chopped fresh dill plus more for garnish', 'Kosher salt, freshly ground pepper', '2 pounds new potatoes or other small potatoes', '1 tablespoon crushed toasted caraway seeds (optional)']","['ted butter', 'dill', 'kosher salt', 'pepper', 'potatoes', 'caraway seeds']",[0 0 0 ... 0 0 0]
Mashed Potato Skordalia,mashed-potato-skordalia,"['1/3 cup walnuts', '1 cup mashed potatoes, room temperature', '4 garlic cloves, finely grated', '1 teaspoon finely grated lemon zest', '2 tablespoons fresh lemon juice', '3 tablespoons olive oil, plus more for drizzling', 'Kosher salt', '1 tablespoon finely chopped chives', 'Pita chips and/or cucumber spears (for serving)']","['walnuts', 'potatoes', 'garlic', 'lemon zest', 'lemon juice', 'olive oil', 'kosher salt', 'chives', 'pita chips', 'cucumber']",[0 0 0 ... 0 0 0]
