Title,Image_Name,Macronutrients,Protein,Fat,Carbs,Total Calories
Hickory-Smoked Baby Back Ribs,hickory-smoked-baby-back-ribs-rob-rainford,"[Protein = 60g, Fat = 45g, Carbs = 85g, Total Calories = 1000]",60.0,45.0,85.0,1000.0
Grilled Watermelon Salad With Lime Mango Dressing and Cornbread Croutons,grilled-watermelon-salad-with-lime-mango-dressing-and-cornbread-croutons,"[Protein = 15g, Fat = 32g, Carbs = 60g, Total Calories = 800]",15.0,32.0,60.0,800.0
Fried Plantain Chips With Lime Sour Cream and Mango Hot Sauce,fried-plantain-chips-with-lime-sour-cream-and-mango-hot-sauce,"[Protein = 12g, Fat = 27g, Carbs = 65g, Total Calories = 700]",12.0,27.0,65.0,700.0
Mississippi Corn Pudding,mississippi-corn-pudding,"[Protein = 12g, Fat = 47g, Carbs = 60g, Total Calories = 800]",12.0,47.0,60.0,800.0
Black-Eyed Pea Salad With Hot Sauce Vinaigrette,black-eyed-pea-salad-with-hot-sauce-vinaigrette,"[Protein = 18g, Fat = 24g, Carbs = 45g, Total Calories = 600]",18.0,24.0,45.0,600.0
"Caribbean Smothered Chicken With Coconut, Lime, and Chiles",caribbean-smothered-chicken-with-coconut-lime-and-chiles,"[Protein = 35g, Fat = 35g, Carbs = 40g, Total Calories = 650]",35.0,35.0,40.0,650.0
Watermelon Salad With Radishes and Mint,watermelon-salad-with-radishes-and-mint,"[Protein = 6g, Fat = 10g, Carbs = 45g, Total Calories = 300]",6.0,10.0,45.0,300.0
Classic BBQ Baked Beans,classic-bbq-baked-beans,"[Protein = 36g, Fat = 32g, Carbs = 120g, Total Calories = 1100]",36.0,32.0,120.0,1100.0
Icebox Lemon Pie With Meringue,icebox-lemon-pie-with-meringue,"[Protein = 10g, Fat = 24g, Carbs = 70g, Total Calories = 650]",10.0,24.0,70.0,650.0
Frogmore Stew,frogmore-stew,"[Protein = 45g, Fat = 80g, Carbs = 110g, Total Calories = 1400]",45.0,80.0,110.0,1400.0
Very Red Velvet Cake With Cream Cheese Icing and Pecans,very-red-velvet-cake-with-cream-cheese-icing-and-pecans,"[Protein = 9g, Fat = 40g, Carbs = 70g, Total Calories = 800]",9.0,40.0,70.0,800.0
Strawberry Balsamic Shortcakes,strawberry-balsamic-shortcakes-with-olive-oil-buttermilk-biscuits,"[Protein = 13g, Fat = 24g, Carbs = 60g, Total Calories = 700]",13.0,24.0,60.0,700.0
Dad's Peach Cobbler,dads-peach-cobbler-lazarus-lynch,"[Protein = 20g, Fat = 45g, Carbs = 90g, Total Calories = 900]",20.0,45.0,90.0,900.0
Strawberry Coconut Cake,strawberry-coconut-cake,"[Protein = 10g, Fat = 40g, Carbs = 100g, Total Calories = 850]",10.0,40.0,100.0,850.0
Sorrel (Hibiscus) Tea,jubilee-sorrel-hibiscus-tea,"[Protein = 2g, Fat = 0g, Carbs = 30g, Total Calories = 130]",2.0,0.0,30.0,130.0
Tea Cakes,tea-cakes,"[Protein = 5g, Fat = 20g, Carbs = 55g, Total Calories = 550]",5.0,20.0,55.0,550.0
Strawberry-Rhubarb Crisp,strawberry-rhubarb-crisp-back-in-the-day,"[Protein = 15g, Fat = 35g, Carbs = 65g, Total Calories = 700]",15.0,35.0,65.0,700.0
Pulled Pork Sandwiches,pulled-pork-sandwiches-big-hurt-bbq,"[Protein = 50g, Fat = 80g, Carbs = 90g, Total Calories = 1200]",50.0,80.0,90.0,1200.0
New Age Church Punch,new-age-church-punch-up-south-cookbook,"[Protein = 1g, Fat = 1g, Carbs = 30g, Total Calories = 150]",1.0,1.0,30.0,150.0
Fried Green Tomatoes,fried-green-tomatoes-up-south-cookbook,"[Protein = 5g, Fat = 20g, Carbs = 50g, Total Calories = 500]",5.0,20.0,50.0,500.0
White Russian,white-russian-simonson-3-ingredient-cocktails,"[Protein = 1g, Fat = 10g, Carbs = 20g, Total Calories = 150]",1.0,10.0,20.0,150.0
Roasted Strawberry Layer Cake,roasted-strawberry-layer-cake-new-way-to-cake,"[Protein = 7g, Fat = 40g, Carbs = 90g, Total Calories = 800]",7.0,40.0,90.0,800.0
Jerk Baby Back Ribs With Pineapple Salsa,jerk-baby-back-ribs-brown-sugar-kitchen,"[Protein = 35g, Fat = 45g, Carbs = 80g, Total Calories = 1100]",35.0,45.0,80.0,1100.0
Habanero BBQ Shrimp,habanero-bbq-shrimp-son-of-a-southern-chef,"[Protein = 30g, Fat = 40g, Carbs = 60g, Total Calories = 800]",30.0,40.0,60.0,800.0
Cornbread Muffins With Whipped Sweet Corn,cornbread-muffins-with-whipped-sweet-corn,"[Protein = 5g, Fat = 20g, Carbs = 40g, Total Calories = 350]",5.0,20.0,40.0,350.0
Apple and Kohlrabi Coleslaw,apple-and-kohlrabi-coleslaw-vegetable-kingdom,"[Protein = 6g, Fat = 10g, Carbs = 45g, Total Calories = 300]",6.0,10.0,45.0,300.0
Lemony Glazed Yogurt Doughnuts,lemony-glazed-yogurt-doughnuts,"[Protein = 6g, Fat = 20g, Carbs = 50g, Total Calories = 450]",6.0,20.0,50.0,450.0
Trail Mix Cookies,trail-mix-cookies,"[Protein = 15g, Fat = 30g, Carbs = 70g, Total Calories = 700]",15.0,30.0,70.0,700.0
Ranch Fun Dip,ranch-fun-dip-with-crudites,"[Protein = 10g, Fat = 25g, Carbs = 20g, Total Calories = 350]",10.0,25.0,20.0,350.0
Whole Wheat–Oat Waffles,whole-wheat-oat-waffles,"[Protein = 6g, Fat = 20g, Carbs = 40g, Total Calories = 400]",6.0,20.0,40.0,400.0
Salted Pistachio Crumbles With Berries and Ice Cream,salted-pistachio-crumbles-with-berries-and-ice-cream-sundae,"[Protein = 10g, Fat = 25g, Carbs = 60g, Total Calories = 550]",10.0,25.0,60.0,550.0
Grilled Pork Shoulder Steaks With Herb Salad,grilled-pork-shoulder-steaks-with-herb-salad,"[Protein = 25g, Fat = 60g, Carbs = 75g, Total Calories = 950]",25.0,60.0,75.0,950.0
Crispy Turmeric-and-Pepper-Spiced Chicken Wings,crispy-turmeric-and-pepper-baked-chicken-wings,"[Protein = 45g, Fat = 40g, Carbs = 70g, Total Calories = 1100]",45.0,40.0,70.0,1100.0
Flatbread With Avocado and Scallion Salsa,flatbread-with-avocado-and-scallion-salsa,"[Protein = 7g, Fat = 20g, Carbs = 50g, Total Calories = 500]",7.0,20.0,50.0,500.0
Charred Peppers With Lemon Ricotta and Cucumbers,charred-peppers-with-lemon-ricotta-and-cucumbers,"[Protein = 25g, Fat = 35g, Carbs = 60g, Total Calories = 800]",25.0,35.0,60.0,800.0
Radishes With Crème Fraîche and Furikake,radishes-with-creme-fraiche-and-furikake,"[Protein = 5g, Fat = 15g, Carbs = 35g, Total Calories = 300]",5.0,15.0,35.0,300.0
Summer Tomato and Ricotta Tart With Oat Pastry,summer-tomato-and-ricotta-tart-with-oat-pastry,"[Protein = 30g, Fat = 50g, Carbs = 60g, Total Calories = 900]",30.0,50.0,60.0,900.0
Fruit Galette,fruit-galette,"[Protein = 10g, Fat = 25g, Carbs = 40g, Total Calories = 550]",10.0,25.0,40.0,550.0
Savory Zucchini Beer Bread,savory-zucchini-beer-bread,"[Protein = 10g, Fat = 25g, Carbs = 60g, Total Calories = 650]",10.0,25.0,60.0,650.0
Khara Huggi or Pongal,khara-huggi-or-pongal-chitra-agrawal-vibrant-india,"[Protein = 10g, Fat = 10g, Carbs = 40g, Total Calories = 250]",10.0,10.0,40.0,250.0
Jalapeño Pepper Jelly,jalapeno-pepper-jelly-bryant-terry,"[Protein = 1g, Fat = 0g, Carbs = 50g, Total Calories = 200]",1.0,0.0,50.0,200.0
Win Son Bakery's Red Date Cake,win-son-bakerys-red-date-cake-jujubes,"[Protein = 12g, Fat = 25g, Carbs = 50g, Total Calories = 600]",12.0,25.0,50.0,600.0
Kong Jaban (Korean Sweet Black Beans),korean-stewed-sweet-black-beans-kong-jaban,"[Protein = 30g, Fat = 30g, Carbs = 40g, Total Calories = 650]",30.0,30.0,40.0,650.0
Agua de Limón con Chía (Limeade With Chia Seeds),agua-de-limon-con-chia-limeade-with-chia-seeds,"[Protein = 0g, Fat = 10g, Carbs = 25g, Total Calories = 180]",0.0,10.0,25.0,180.0
Lágrimas de la Virgen (Beet Cooler With Fruits),lagrimas-de-la-virgen-beet-cooler-fany-gerson,"[Protein = 2g, Fat = 10g, Carbs = 35g, Total Calories = 220]",2.0,10.0,35.0,220.0
"Guava, Grapefruit, and Rosemary Agua Fresca (Agua fresca de guayaba, toronja y romero)",guava-grapefruit-and-rosemary-agua-fresca,"[Protein = 5g, Fat = 5g, Carbs = 35g, Total Calories = 200]",5.0,5.0,35.0,200.0
Aguas Frescas (Mexican Fruit Coolers),aguas-frescas-general-formula,"[Protein = 2g, Fat = 5g, Carbs = 30g, Total Calories = 180]",2.0,5.0,30.0,180.0
Grilled Pizza,grilled-pizza-best-dough-toppings-grilling,"[Protein = 10g, Fat = 25g, Carbs = 50g, Total Calories = 600]",10.0,25.0,50.0,600.0
Rosemary Agrodolce,rosemary-agrodolce-for-pizza,"[Protein = 1g, Fat = 0g, Carbs = 30g, Total Calories = 120]",1.0,0.0,30.0,120.0
Spring Chicken Dinner Salad,spring-chicken-dinner-salad,"[Protein = 40g, Fat = 30g, Carbs = 50g, Total Calories = 750]",40.0,30.0,50.0,750.0
Pork and Asparagus Stir-Fry,pork-and-asparagus-stir-fry,"[Protein = 30g, Fat = 25g, Carbs = 50g, Total Calories = 650]",30.0,25.0,50.0,650.0
Ramen Noodles With Spring Onions and Garlic Crisp,ramen-noodles-with-spring-onions-and-garlic-crisp,"[Protein = 25g, Fat = 35g, Carbs = 60g, Total Calories = 750]",25.0,35.0,60.0,750.0
Shrimp Ramp-y,shrimp-ramp-y,"[Protein = 35g, Fat = 40g, Carbs = 60g, Total Calories = 850]",35.0,40.0,60.0,850.0
Green-Garlic-Rubbed Buttery Roast Chicken,green-garlic-rubbed-buttery-roast-chicken,"[Protein = 30g, Fat = 45g, Carbs = 70g, Total Calories = 950]",30.0,45.0,70.0,950.0
Scallion Pancakes With Chili-Ginger Dipping Sauce,scallion-pancakes-with-chili-ginger-dipping-sauce,"[Protein = 30g, Fat = 50g, Carbs = 70g, Total Calories = 1000]",30.0,50.0,70.0,1000.0
Camouflage Chocolate Fudge Brownies,camouflage-chocolate-fudge-brownies,"[Protein = 20g, Fat = 40g, Carbs = 60g, Total Calories = 800]",20.0,40.0,60.0,800.0
Sour Cream and Onion Biscuits,sour-cream-and-onion-biscuits,"[Protein = 15g, Fat = 35g, Carbs = 55g, Total Calories = 700]",15.0,35.0,55.0,700.0
Salty Buckwheat Chocolate Chunk Cookies,salty-buckwheat-chocolate-chunk-cookies,"[Protein = 20g, Fat = 40g, Carbs = 50g, Total Calories = 750]",20.0,40.0,50.0,750.0
Hanky Panky Cocktail,hanky-panky-gin-cocktail,"[Protein = 15g, Fat = 30g, Carbs = 45g, Total Calories = 650]",15.0,30.0,45.0,650.0
Avocado and Lemon Water (Agua de Aguacate y Limón Amarillo),avocado-and-lemon-water-olvera,"[Protein = 25g, Fat = 30g, Carbs = 55g, Total Calories = 750]",25.0,30.0,55.0,750.0
Cinnamon-Date Sticky Buns,cinnamon-date-sticky-buns,"[Protein = 20g, Fat = 35g, Carbs = 60g, Total Calories = 800]",20.0,35.0,60.0,800.0
Grilled Coconut Shrimp With Shishito Peppers,grilled-coconut-shrimp-shishito-peppers,"[Protein = 30g, Fat = 40g, Carbs = 60g, Total Calories = 900]",30.0,40.0,60.0,900.0
"Mochi Cake, Any Way You Want It",mochi-cake-any-way-you-want-it,"[Protein = 25g, Fat = 45g, Carbs = 70g, Total Calories = 1000]",25.0,45.0,70.0,1000.0
Triple-Threat Onion Galette,triple-threat-onion-galette,"[Protein = 15g, Fat = 30g, Carbs = 50g, Total Calories = 700]",15.0,30.0,50.0,700.0
Shockingly Easy No-Knead Focaccia,shockingly-easy-no-knead-focaccia,"[Protein = 35g, Fat = 40g, Carbs = 70g, Total Calories = 950]",35.0,40.0,70.0,950.0
Tahini Billionaire Bars,tahini-billionaire-bars,"[Protein = 25g, Fat = 40g, Carbs = 60g, Total Calories = 900]",25.0,40.0,60.0,900.0
Frozen Gin and Tonic,frozen-gin-and-tonic-brooks-reitz,"[Protein = 20g, Fat = 35g, Carbs = 50g, Total Calories = 750]",20.0,35.0,50.0,750.0
Red Hook Criterium,red-hook-criterium-amaro-cocktail,"[Protein = 30g, Fat = 45g, Carbs = 70g, Total Calories = 1000]",30.0,45.0,70.0,1000.0
Coconut Shrimp Tacos With Mango Salsa and Avocado Cilantro Sauce,coconut-shrimp-tacos-with-mango-salsa-and-avocado-cilantro-sauce,"[Protein = 25g, Fat = 35g, Carbs = 55g, Total Calories = 800]",25.0,35.0,55.0,800.0
Chicken Zucchini Burgers,chicken-zucchini-burgers,"[Protein = 30g, Fat = 45g, Carbs = 70g, Total Calories = 1000]",30.0,45.0,70.0,1000.0
Chipotle Chicken and Cauliflower Tacos,chipotle-chicken-and-cauliflower-tacos,"[Protein = 20g, Fat = 30g, Carbs = 50g, Total Calories = 750]",20.0,30.0,50.0,750.0
Instant Pot Ginger-Lime Baby Back Ribs,instant-pot-ginger-lime-baby-back-ribs,"[Protein = 20g, Fat = 40g, Carbs = 60g, Total Calories = 800]",20.0,40.0,60.0,800.0
Cashew Horchata (Horchata de Nuez de la India),cashew-horchata-olvera,"[Protein = 25g, Fat = 40g, Carbs = 60g, Total Calories = 850]",25.0,40.0,60.0,850.0
Orange Chocolate Loaf Cake From Florida,orange-chocolate-loaf-cake-from-florida,"[Protein = 25g, Fat = 30g, Carbs = 50g, Total Calories = 800]",25.0,30.0,50.0,800.0
Whipped Cream Cake,whipped-cream-cake-rose-levy-beranbaum,"[Protein = 30g, Fat = 40g, Carbs = 60g, Total Calories = 900]",30.0,40.0,60.0,900.0
Broccoli and Spam Stir-Fry,broccoli-and-spam-stir-fry,"[Protein = 25g, Fat = 40g, Carbs = 60g, Total Calories = 900]",25.0,40.0,60.0,900.0
Cosmonaut,cosmonaut-cocktail-petraske-simonson,"[Protein = 25g, Fat = 35g, Carbs = 60g, Total Calories = 850]",25.0,35.0,60.0,850.0
Creamy Ginger Dressing,creamy-ginger-dressing-bryant-terry,"[Protein = 30g, Fat = 40g, Carbs = 60g, Total Calories = 900]",30.0,40.0,60.0,900.0
Syrniki (Сырники / Farmer’s Cheese Pancakes),farmers-cheese-pancakes-syrniki,"[Protein = 25g, Fat = 40g, Carbs = 60g, Total Calories = 900]",25.0,40.0,60.0,900.0
Charred Leeks With Honey and Vinegar,charred-leeks-with-honey-and-vinegar,"[Protein = 20g, Fat = 35g, Carbs = 55g, Total Calories = 800]",20.0,35.0,55.0,800.0
Cardamom-Pistachio Carrot Cake,cardamom-pistachio-carrot-cake,"[Protein = 25g, Fat = 40g, Carbs = 60g, Total Calories = 900]",25.0,40.0,60.0,900.0
Cacao Water (Agua de Cacao),cacao-water-agua-de-cacao,"[Protein = 25g, Fat = 35g, Carbs = 55g, Total Calories = 850]",25.0,35.0,55.0,850.0
Rosita,rosita-tequiila-campari-cocktail-jim-meehan,"[Protein = 25g, Fat = 40g, Carbs = 60g, Total Calories = 900]",25.0,40.0,60.0,900.0
Say Anything,say-anything-cocktail-ivy-mix,"[Protein = 20g, Fat = 35g, Carbs = 55g, Total Calories = 800]",20.0,35.0,55.0,800.0
Tropic Like It's Hot,tropic-like-its-hot-tequila-pineapple-cocktail,"[Protein = 25g, Fat = 30g, Carbs = 50g, Total Calories = 750]",25.0,30.0,50.0,750.0
Sourdough Crepes,sourdough-crepes,"[Protein = 25g, Fat = 40g, Carbs = 60g, Total Calories = 900]",25.0,40.0,60.0,900.0
Enjoying a Margarita in Venezia,margarita-in-venezia-tequila-aperol-cocktail-beautiful-booze,"[Protein = 25g, Fat = 35g, Carbs = 55g, Total Calories = 850]",25.0,35.0,55.0,850.0
Cucumber Cilantro Margarita,cucumber-cilantro-margarita-trejos-tacos,"[Protein = 20g, Fat = 30g, Carbs = 50g, Total Calories = 750]",20.0,30.0,50.0,750.0
Retox Cocktail,retox-tequila-cocktail-sother-teague,"[Protein = 30g, Fat = 45g, Carbs = 70g, Total Calories = 1000]",30.0,45.0,70.0,1000.0
Hawaij,hawaij,"[Protein = 25g, Fat = 40g, Carbs = 60g, Total Calories = 900]",25.0,40.0,60.0,900.0
Tie-Dye Butter Cookies,tie-dye-butter-cookies,"[Protein = 25g, Fat = 35g, Carbs = 60g, Total Calories = 850]",25.0,35.0,60.0,850.0
Ancho Mole Cookies,ancho-mole-cookies,"[Protein = 25g, Fat = 40g, Carbs = 60g, Total Calories = 900]",25.0,40.0,60.0,900.0
Mashed Plantains With Fried Eggs (Mangú de Plátanos),mashed-plantains-with-fried-eggs-mangu-de-platanos,"[Protein = 20g, Fat = 35g, Carbs = 55g, Total Calories = 800]",20.0,35.0,55.0,800.0
Golden Noodles With Chicken,golden-noodles-with-chicken,"[Protein = 25g, Fat = 40g, Carbs = 60g, Total Calories = 900]",25.0,40.0,60.0,900.0
Butter Pecan Skillet Cookies,butter-pecan-skillet-cookies,"[Protein = 20g, Fat = 35g, Carbs = 55g, Total Calories = 800]",20.0,35.0,55.0,800.0
Spring Green Bowls,spring-green-bowls,"[Protein = 30g, Fat = 40g, Carbs = 60g, Total Calories = 950]",30.0,40.0,60.0,950.0
Sausage and Ricotta Baked Cannelloni,sausage-and-ricotta-baked-cannelloni,"[Protein = 65g, Fat = 90g, Carbs = 160g, Total Calories = 1200]",65.0,90.0,160.0,1200.0
Okra Fries,okra-fries,"[Protein = 7g, Fat = 16g, Carbs = 38g, Total Calories = 350]",7.0,16.0,38.0,350.0
Sweet Pickle Potato Salad,sweet-pickle-potato-salad,"[Protein = 20g, Fat = 40g, Carbs = 75g, Total Calories = 800]",20.0,40.0,75.0,800.0
Cheesy Chicken Melt With All of the Onions Relish,cheesy-chicken-melt-onion-relish-tyler-kord,"[Protein = 60g, Fat = 60g, Carbs = 90g, Total Calories = 950]",60.0,60.0,90.0,950.0
Chicken Spiedies (Marinated Chicken on a Bun),chicken-spiedies-marinated-chicken-bun-dynamite-chicken,"[Protein = 70g, Fat = 45g, Carbs = 100g, Total Calories = 1100]",70.0,45.0,100.0,1100.0
Seed and Nut Bread,seed-and-nut-bread,"[Protein = 45g, Fat = 90g, Carbs = 135g, Total Calories = 1200]",45.0,90.0,135.0,1200.0
Pasta With Broccoli and Lemon Cashew-Cream Sauce,pasta-with-broccoli-and-lemon-cashew-cream-sauce,"[Protein = 45g, Fat = 40g, Carbs = 150g, Total Calories = 1200]",45.0,40.0,150.0,1200.0
Coconut-Lime Energy Bites,coconut-lime-energy-bites,"[Protein = 30g, Fat = 40g, Carbs = 80g, Total Calories = 700]",30.0,40.0,80.0,700.0
Satay Lettuce Wraps,satay-lettuce-wraps,"[Protein = 50g, Fat = 50g, Carbs = 110g, Total Calories = 1000]",50.0,50.0,110.0,1000.0
Sweet Potato and Pecan Waffles,sweet-potato-and-pecan-waffles,"[Protein = 15g, Fat = 25g, Carbs = 55g, Total Calories = 600]",15.0,25.0,55.0,600.0
Instant Pot Lemon Chicken With Garlic and Olives,instant-pot-lemon-chicken-with-olives-melissa-clark,"[Protein = 50g, Fat = 60g, Carbs = 40g, Total Calories = 950]",50.0,60.0,40.0,950.0
Instant Pot Lemon Vanilla Rice Pudding With Whipped Cream,instant-pot-lemon-vanilla-rice-pudding-melissa-clark,"[Protein = 20g, Fat = 25g, Carbs = 75g, Total Calories = 600]",20.0,25.0,75.0,600.0
"Instant Pot Middle Eastern Lentils With Rice, Leeks, and Spinach",lentils-with-rice-spinach-mujadra-melissa-clark,"[Protein = 25g, Fat = 35g, Carbs = 65g, Total Calories = 750]",25.0,35.0,65.0,750.0
Beans and Greens Polenta Bake,beans-and-greens-polenta-bake,"[Protein = 20g, Fat = 45g, Carbs = 75g, Total Calories = 800]",20.0,45.0,75.0,800.0
Pantry Dinner Salad With Polenta Croutons,pantry-dinner-salad-with-polenta-croutons,"[Protein = 15g, Fat = 35g, Carbs = 80g, Total Calories = 700]",15.0,35.0,80.0,700.0
Big-Batch Parmesan Polenta,big-batch-parmesan-polenta,"[Protein = 25g, Fat = 35g, Carbs = 60g, Total Calories = 750]",25.0,35.0,60.0,750.0
Backyard Citrus Upside-Down Cake,backyard-citrus-upside-down-cake-dappled,"[Protein = 12g, Fat = 55g, Carbs = 80g, Total Calories = 850]",12.0,55.0,80.0,850.0
Sourdough Biscuits,sourdough-biscuits,"[Protein = 15g, Fat = 25g, Carbs = 60g, Total Calories = 550]",15.0,25.0,60.0,550.0
"Carrot Ribbon Salad With Ginger, Parsley, and Dates",carrot-ribbon-salad-with-ginger-parsley-and-dates,"[Protein = 10g, Fat = 35g, Carbs = 70g, Total Calories = 600]",10.0,35.0,70.0,600.0
"Sumac, Spelt, and Apple Cake",sumac-spelt-and-apple-cake-new-way-to-cake-benjamina-ebuehi,"[Protein = 12g, Fat = 35g, Carbs = 80g, Total Calories = 700]",12.0,35.0,80.0,700.0
Strawberry Honey Balsamic With Black Pepper Ice Cream,strawberry-honey-balsamic-with-black-pepper-ice-cream-salt-straw,"[Protein = 15g, Fat = 40g, Carbs = 75g, Total Calories = 850]",15.0,40.0,75.0,850.0
Togarashi Cheesecake With Sorghum,togarashi-cheesecake-with-sorghum-edward-lee,"[Protein = 30g, Fat = 25g, Carbs = 45g, Total Calories = 650]",30.0,25.0,45.0,650.0
Spicy Tomato–Tuna Noodle Skillet Casserole With Aioli,spicy-tomato-tuna-noodle-skillet-casserole-with-aioli,"[Protein = 45g, Fat = 35g, Carbs = 70g, Total Calories = 850]",45.0,35.0,70.0,850.0
Braised Celery With Lentils and Garlic,braised-celery-with-lentils-and-garlic,"[Protein = 40g, Fat = 50g, Carbs = 100g, Total Calories = 1100]",40.0,50.0,100.0,1100.0
Lentil Bolognese,lentil-bolognese,"[Protein = 55g, Fat = 50g, Carbs = 90g, Total Calories = 1000]",55.0,50.0,90.0,1000.0
Big-Batch Marinated Lentils,big-batch-marinated-lentils,"[Protein = 25g, Fat = 35g, Carbs = 70g, Total Calories = 750]",25.0,35.0,70.0,750.0
Sourdough Key Lime Ricotta Cookies,sourdough-key-lime-ricotta-cookies-artisan-sourdough-made-simple,"[Protein = 25g, Fat = 50g, Carbs = 100g, Total Calories = 1000]",25.0,50.0,100.0,1000.0
Cinnamon Sugar Sourdough Waffles,cinnamon-sugar-sourdough-waffles-artisan-sourdough-made-simple,"[Protein = 10g, Fat = 30g, Carbs = 50g, Total Calories = 550]",10.0,30.0,50.0,550.0
Blueberry Lemon Corn Muffins,blueberry-lemon-corn-muffins-15255,"[Protein = 10g, Fat = 25g, Carbs = 45g, Total Calories = 400]",10.0,25.0,45.0,400.0
French Canadian,french-canadian-cocktail-cognac-pantry,"[Protein = 1g, Fat = 0g, Carbs = 5g, Total Calories = 40]",1.0,0.0,5.0,40.0
Spanish Penny,spanish-penny-pantry-cocktail,"[Protein = 2g, Fat = 0g, Carbs = 10g, Total Calories = 60]",2.0,0.0,10.0,60.0
Spicy Baked Pasta With Cheddar and Broccoli Rabe,spicy-baked-pasta-with-cheddar-and-broccoli-rabe,"[Protein = 15g, Fat = 25g, Carbs = 55g, Total Calories = 650]",15.0,25.0,55.0,650.0
Crunchy Pickle Salad,crunchy-pickle-salad,"[Protein = 20g, Fat = 25g, Carbs = 50g, Total Calories = 700]",20.0,25.0,50.0,700.0
Beet Tostadas With Fried Eggs,beet-tostadas-with-fried-eggs,"[Protein = 25g, Fat = 35g, Carbs = 60g, Total Calories = 750]",25.0,35.0,60.0,750.0
Salsa de Árbol,salsa-de-arbol,"[Protein = 7g, Fat = 25g, Carbs = 30g, Total Calories = 350]",7.0,25.0,30.0,350.0
Grains in Herby Buttermilk,grains-in-herby-buttermilk,"[Protein = 15g, Fat = 20g, Carbs = 45g, Total Calories = 550]",15.0,20.0,45.0,550.0
"Pasta With Brown Butter, Whole Lemon, and Parmesan",pasta-with-brown-butter-whole-lemon-and-parmesan,"[Protein = 15g, Fat = 20g, Carbs = 55g, Total Calories = 600]",15.0,20.0,55.0,600.0
One-Pot Gingery Chicken and Rice With Peanut Sauce,one-pot-gingery-chicken-and-rice-with-peanut-sauce,"[Protein = 30g, Fat = 50g, Carbs = 75g, Total Calories = 1000]",30.0,50.0,75.0,1000.0
Squash au Vin,squash-au-vin,"[Protein = 20g, Fat = 30g, Carbs = 60g, Total Calories = 750]",20.0,30.0,60.0,750.0
Lentil Kielbassoulet,lentil-kielbassoulet,"[Protein = 40g, Fat = 50g, Carbs = 80g, Total Calories = 1100]",40.0,50.0,80.0,1100.0
Wood Ear and Cilantro Salad,wood-ear-and-cilantro-salad,"[Protein = 10g, Fat = 20g, Carbs = 50g, Total Calories = 400]",10.0,20.0,50.0,400.0
Pickle Potato Salad,pickle-potato-salad,"[Protein = 25g, Fat = 40g, Carbs = 70g, Total Calories = 850]",25.0,40.0,70.0,850.0
Tangy Vinegar Chicken With Barberries and Orange,tangy-vinegar-chicken-with-barberries-and-orange,"[Protein = 35g, Fat = 40g, Carbs = 80g, Total Calories = 950]",35.0,40.0,80.0,950.0
Swirl Spice Cake,swirl-spice-cake,"[Protein = 25g, Fat = 35g, Carbs = 60g, Total Calories = 750]",25.0,35.0,60.0,750.0
Scallop Rice Bowls With Crunchy Spice Oil,scallop-rice-bowls-with-crunchy-spice-oil,"[Protein = 40g, Fat = 50g, Carbs = 80g, Total Calories = 1000]",40.0,50.0,80.0,1000.0
Coconut Cod Chowder With Seasoned Oyster Crackers,coconut-cod-chowder-with-seasoned-oyster-crackers,"[Protein = 30g, Fat = 40g, Carbs = 70g, Total Calories = 900]",30.0,40.0,70.0,900.0
Clams Arrabbiata,clams-arrabbiata,"[Protein = 20g, Fat = 40g, Carbs = 60g, Total Calories = 750]",20.0,40.0,60.0,750.0
Tamarind-Glazed Black Bass With Coconut-Herb Salad,tamarind-glazed-black-bass-with-coconut-herb-salad,"[Protein = 25g, Fat = 35g, Carbs = 70g, Total Calories = 800]",25.0,35.0,70.0,800.0
Pork Volcánes al Pastor,pork-volcanes-al-pastor,"[Protein = 25g, Fat = 30g, Carbs = 60g, Total Calories = 750]",25.0,30.0,60.0,750.0
Goat Birria Tacos With Cucumber Pico de Gallo,goat-birria-tacos-with-cucumber-pico-de-gallo,"[Protein = 40g, Fat = 45g, Carbs = 80g, Total Calories = 950]",40.0,45.0,80.0,950.0
Stuffed Cabbage With Lemony Rice and Sumac,stuffed-cabbage-with-lemony-rice-and-sumac,"[Protein = 25g, Fat = 40g, Carbs = 60g, Total Calories = 800]",25.0,40.0,60.0,800.0
Pickle Brine Spice Rub,pickle-brine-spice-rub,"[Protein = 5g, Fat = 15g, Carbs = 40g, Total Calories = 250]",5.0,15.0,40.0,250.0
Crunchy Spice Oil,crunchy-spice-oil,"[Protein = 10g, Fat = 25g, Carbs = 45g, Total Calories = 500]",10.0,25.0,45.0,500.0
Savory-to-Sweet Coffee Spice Mix,savory-to-sweet-coffee-spice-mix,"[Protein = 3g, Fat = 5g, Carbs = 25g, Total Calories = 150]",3.0,5.0,25.0,150.0
Chicken Stock on the Grill,chicken-stock-on-the-grill,"[Protein = 40g, Fat = 45g, Carbs = 85g, Total Calories = 950]",40.0,45.0,85.0,950.0
Thyme Out,thyme-out-vodka-lemonade-cocktail,"[Protein = 10g, Fat = 15g, Carbs = 40g, Total Calories = 350]",10.0,15.0,40.0,350.0
Fragrant Mixed Herb and Flatbread Salad (Domaaj),persian-fragrant-mixed-herb-and-flatbread-salad-domaaj,"[Protein = 25g, Fat = 35g, Carbs = 55g, Total Calories = 750]",25.0,35.0,55.0,750.0
